UG01_Status.UHLM_Bomba2_Trip,UG01_750_862,1x,16441,,Undesignated
UG01_Status.UHLM_NivelMaximoOleo,UG01_750_862,1x,16442,,Undesignated
UG01_Status.UHLM_NivelMinimoOleo,UG01_750_862,1x,16443,,Undesignated
UG01_Status.UHLM_FluxoTrocadorCalor,UG01_750_862,1x,16444,,Undesignated
UG01_Status.UHLM_FiltroOleoSujo,UG01_750_862,1x,16445,,Undesignated
UG01_Status.UHLM_PressostatoLinha,UG01_750_862,1x,16446,,Undesignated
UG01_Status.UHLM_Fluxo_Guia_Rad_LNA,UG01_750_862,1x,16447,,Undesignated
UG01_Status.UHLM_Fluxo_Guia_CEsc_LA,UG01_750_862,1x,16448,,Undesignated
UG01_Status.UHLM_Fluxo_Guia_Esc_LA,UG01_750_862,1x,16449,,Undesignated
UG01_Status.UHLM_Fluxo_Comb_LA,UG01_750_862,1x,16450,,Undesignated
UG01_Status.UHRV_Desligada,UG01_750_862,1x,16452,,Undesignated
UG01_Status.UHRV_Operacional,UG01_750_862,1x,16453,,Undesignated
UG01_Status.UHRV_StatusBomba1,UG01_750_862,1x,16454,,Undesignated
UG01_Status.UHRV_StatusBomba2,UG01_750_862,1x,16455,,Undesignated
UG01_Status.UHRV_PressaoCritica,UG01_750_862,1x,16456,,Undesignated
UG01_Status.UHRV_FiltroPressao,UG01_750_862,1x,16457,,Undesignated
UG01_Status.UHRV_FiltroRetorno,UG01_750_862,1x,16458,,Undesignated
UG01_Status.UHRV_NivelOleoMinimo,UG01_750_862,1x,16459,,Undesignated
UG01_Status.UHRV_NivelOleoMaximo,UG01_750_862,1x,16460,,Undesignated
UG01_Status.UHRV_Bomba1_Trip,UG01_750_862,1x,16461,,Undesignated
UG01_Status.UHRV_Bomba2_Trip,UG01_750_862,1x,16462,,Undesignated
UG01_Status.UHRV_FiltroSaida100_Sujo,UG01_750_862,1x,16463,,Undesignated
UG01_Status.UHRV_FiltroSaida75_Sujo,UG01_750_862,1x,16464,,Undesignated
UG01_Status.UHRV_FiltroRetorno100_Sujo,UG01_750_862,1x,16465,,Undesignated
UG01_Status.UHRV_FiltroRetorno75_Sujo,UG01_750_862,1x,16466,,Undesignated
UG01_Status.UHRV_Valvula_Controle_Pressao,UG01_750_862,1x,16463,,Undesignated
UG01_Status.SFA_Desligada,UG01_750_862,1x,16471,,Undesignated
UG01_Status.SFA_StatusBomba,UG01_750_862,1x,16472,,Undesignated
UG01_Status.SFA_TRIPBomba,UG01_750_862,1x,16473,,Undesignated
UG01_Status.SFA_PressostatoSelo,UG01_750_862,1x,16474,,Undesignated
UG01_Status.SFA_Operacional,UG01_750_862,1x,16475,,Undesignated
UG01_Status.Turbina_Aberta,UG01_750_862,1x,16481,,Undesignated
UG01_Status.Turbina_Fechada,UG01_750_862,1x,16482,,Undesignated
UG01_Status.Turbina_ByPassFechado,UG01_750_862,1x,16483,,Undesignated
UG01_Status.Turbina_ByPassAberto,UG01_750_862,1x,16484,,Undesignated
UG01_Status.Turbina_PressaoEquilibrada,UG01_750_862,1x,16485,,Undesignated
UG01_Status.Turbina_Equalizada,UG01_750_862,1x,16486,,Undesignated
UG01_Status.Turbina_BorboletaFechada,UG01_750_862,1x,16487,,Undesignated
UG01_Status.Turbina_BorboletaAberta,UG01_750_862,1x,16488,,Undesignated
UG01_Status.Turbina_BorboletaRetencao,UG01_750_862,1x,16489,,Undesignated
UG01_Status.Turbina_Operacional,UG01_750_862,1x,16490,,Undesignated
UG01_Status.RegV_TurbinaParada,UG01_750_862,1x,16491,,Undesignated
